date,strat,strat_noSL,bench,bench_sl,n_pick,n_elig,excess,excess_sl,year
2020-10-29,0.0042618757198246825,0.0042618757198246825,0.00033967841969025363,0.00033967841969025363,1378,2295,0.003922197300134429,0.003922197300134429,2020
2020-11-12,-0.006651043519658912,-0.006651043519658912,-0.005526395454931488,-0.005526395454931488,1441,2401,-0.0011246480647274237,-0.0011246480647274237,2020
2020-11-26,-0.007173461977946477,-0.007173461977946477,-0.015868425524080427,-0.015868425524080427,1525,2541,0.00869496354613395,0.00869496354613395,2020
2020-12-10,-0.045991607851946295,-0.045991607851946295,-0.030869931151890167,-0.030869931151890167,1511,2517,-0.015121676700056128,-0.015121676700056128,2020
2020-12-24,-0.0023371878512350457,-0.0023371878512350457,0.0044148427862861425,0.0044148427862861425,1466,2443,-0.006752030637521188,-0.006752030637521188,2020
2021-01-08,0.008087434751318692,0.008087434751318692,0.007833973659486404,0.007833973659486404,1460,2430,0.00025346109183228827,0.00025346109183228827,2021
2021-01-22,-0.10019323065512677,-0.10019323065512677,-0.09580974226836327,-0.09580974226836327,1462,2436,-0.004383488386763501,-0.004383488386763501,2021
2021-02-05,0.09598807211576488,0.09598807211576488,0.06923843091690819,0.06923843091690819,1363,2271,0.026749641198856686,0.026749641198856686,2021
2021-02-26,-0.013318884830557647,-0.013318884830557647,-0.009354878268153576,-0.009354878268153576,1339,2231,-0.00396400656240407,-0.00396400656240407,2021
2021-03-12,0.018632994286944933,0.018632994286944933,0.012494542761979966,0.012494542761979966,1398,2328,0.006138451524964967,0.006138451524964967,2021
2021-03-26,0.0015633644669973909,0.0015633644669973909,-0.0026937367489822325,-0.0026937367489822325,1434,2388,0.004257101215979623,0.004257101215979623,2021
2021-04-12,0.022041774714599265,0.022041774714599265,0.016353115266389783,0.016353115266389783,1412,2349,0.005688659448209482,0.005688659448209482,2021
2021-04-26,-0.011993852102619839,-0.011993852102619839,-0.001444501790338013,-0.001444501790338013,1448,2412,-0.010549350312281826,-0.010549350312281826,2021
2021-05-13,0.056700610238504506,0.056700610238504506,0.05038019302890481,0.05038019302890481,1440,2398,0.0063204172095996936,0.0063204172095996936,2021
2021-05-27,0.017857484320152602,0.017857484320152602,0.0216559075606529,0.0216559075606529,1415,2361,-0.003798423240500299,-0.003798423240500299,2021
2021-06-10,0.0033281656757711206,0.0033281656757711206,0.010710453919296734,0.010710453919296734,1540,2566,-0.007382288243525614,-0.007382288243525614,2021
2021-06-25,-0.0016982224499593544,-0.0016982224499593544,0.013088838277747624,0.013088838277747624,1627,2710,-0.014787060727706977,-0.014787060727706977,2021
2021-07-09,0.006333735178843694,0.006333735178843694,0.02463383985672974,0.02463383985672974,1598,2665,-0.018300104677886047,-0.018300104677886047,2021
2021-07-23,-0.014998187782156924,-0.014998187782156924,0.0013008259691296173,0.0013008259691296173,1632,2718,-0.01629901375128654,-0.01629901375128654,2021
2021-08-06,0.013361690306827725,0.013361690306827725,0.004131137471711065,0.004131137471711065,1686,2809,0.00923055283511666,0.00923055283511666,2021
2021-08-20,0.039070038668347386,0.039070038668347386,0.03898856274430762,0.03898856274430762,1709,2846,8.147592403976583e-05,8.147592403976583e-05,2021
2021-09-03,0.005389625383018962,0.005389625383018962,0.011644947462097712,0.011644947462097712,1799,2994,-0.006255322079078749,-0.006255322079078749,2021
2021-09-17,-0.024574644976081604,-0.024574644976081604,-0.05313349925911725,-0.05313349925911725,1875,3124,0.028558854283035645,0.028558854283035645,2021
2021-10-12,0.02109496090203404,0.02109496090203404,0.013174832502608202,0.013174832502608202,1774,2957,0.007920128399425838,0.007920128399425838,2021
2021-10-26,-0.0034696282131666633,-0.0034696282131666633,0.007083904689043908,0.007083904689043908,1584,2639,-0.010553532902210571,-0.010553532902210571,2021
2021-11-09,0.05100272985251906,0.05100272985251906,0.057932881897049,0.057932881897049,1569,2614,-0.006930152044529944,-0.006930152044529944,2021
2021-11-23,0.00416124049336857,0.00416124049336857,-0.01624495447105475,-0.01624495447105475,1693,2822,0.02040619496442332,0.02040619496442332,2021
2021-12-07,0.0330017614611385,0.0330017614611385,0.029418778878097504,0.029418778878097504,1847,3079,0.003582982583040996,0.003582982583040996,2021
2021-12-21,0.0010190319722556682,0.0010190319722556682,-6.42289610866151e-05,-6.42289610866151e-05,1952,3251,0.0010832609333422834,0.0010832609333422834,2021
2022-01-05,-0.01078912098734377,-0.01078912098734377,-0.006760582214253368,-0.006760582214253368,1999,3332,-0.004028538773090402,-0.004028538773090402,2022
2022-01-19,-0.042565696854856415,-0.042565696854856415,-0.05457609542433137,-0.05457609542433137,2038,3397,0.012010398569474952,0.012010398569474952,2022
2022-02-09,0.01122963783959087,0.01122963783959087,0.016529128805531586,0.016529128805531586,1945,3241,-0.005299490965940717,-0.005299490965940717,2022
2022-02-23,-0.09024040051334972,-0.09024040051334972,-0.08091283698156755,-0.08091283698156755,1789,2980,-0.009327563531782171,-0.009327563531782171,2022
2022-03-09,0.027780627378132482,0.027780627378132482,0.02572455763885046,0.02572455763885046,1860,3100,0.0020560697392820217,0.0020560697392820217,2022
2022-03-23,-0.037560974711484126,-0.037560974711484126,-0.039002368151704936,-0.039002368151704936,1893,3155,0.0014413934402208103,0.0014413934402208103,2022
2022-04-08,-0.08943661924946444,-0.08943661924946444,-0.09883021376038911,-0.09883021376038911,1820,3029,0.009393594510924669,0.009393594510924669,2022
2022-04-22,0.006878148798179299,0.006878148798179299,-0.003221497155788539,-0.003221497155788539,1765,2943,0.010099645953967838,0.010099645953967838,2022
2022-05-11,0.03982660101084768,0.03982660101084768,0.029848179191765606,0.029848179191765606,1729,2881,0.009978421819082074,0.009978421819082074,2022
